cartodb_id,from_iso,from_x,from_y,quantity,to_iso,to_x,to_y,created_at,updated_at,the_geom
5491,CG,15.992858,-0.305605,6,SE,17.675409,64.964875,2012/04/22  0:16:18,2012/04/22  0:16:18,
5492,NZ,171.7799,-41.838875,1,AR,-63.998128,-35.376184,2012/04/22  0:16:18,2012/04/22  0:16:18,
5493,JP,138.59223,36.386493,8,MY,108.713972,3.198685,2012/04/22  0:16:18,2012/04/22  0:16:18,
5494,BR,-51.619789,-9.588903,368,CH,8.234392,46.802496,2012/04/22  0:16:18,2012/04/22  0:16:18,
5495,TZ,34.823454,-6.270353,8,RU,96.669705,61.994573,2012/04/22  0:16:18,2012/04/22  0:16:18,
5496,PK,69.385966,29.967022,171,ES,-3.280887,40.304531,2012/04/22  0:16:18,2012/04/22  0:16:18,
5497,SY,38.505592,35.013048,70,SA,44.548171,24.131342,2012/04/22  0:16:18,2012/04/22  0:16:18,
5498,PT,-8.562731,39.600995,44,ZA,23.913711,-28.378272,2012/04/22  0:16:18,2012/04/22  0:16:18,
5499,SC,52.229874,-6.354384,2,FK,,,2012/04/22  0:16:18,2012/04/22  0:16:18,
5500,MN,103.083218,46.835291,10,DK,10.046297,55.963398,2012/04/22  0:16:18,2012/04/22  0:16:18,
5501,ZA,23.913711,-28.378272,4,BM,-64.73701,32.31792,2012/04/22  0:16:18,2012/04/22  0:16:18,
5502,KR,128.168944,36.536236,30,MY,108.713972,3.198685,2012/04/22  0:16:18,2012/04/22  0:16:18,
5503,SY,38.505592,35.013048,4,QA,51.191201,25.315079,2012/04/22  0:16:18,2012/04/22  0:16:18,
5504,GB,-1.428851,52.576441,7,TR,35.179593,39.060481,2012/04/22  0:16:18,2012/04/22  0:16:18,
5505,CG,15.992858,-0.305605,3,NO,8.804821,61.248333,2012/04/22  0:16:18,2012/04/22  0:16:18,
5506,SA,44.548171,24.131342,2,HK,,,2012/04/22  0:16:18,2012/04/22  0:16:18,
5507,BR,-51.619789,-9.588903,20,PA,-80.268175,8.704735,2012/04/22  0:16:18,2012/04/22  0:16:18,
5508,HK,,,654,CN,101.901875,35.486703,2012/04/22  0:16:18,2012/04/22  0:16:18,
5509,GR,23.828554,38.589021,16,DK,10.046297,55.963398,2012/04/22  0:16:18,2012/04/22  0:16:18,
5510,TR,35.179593,39.060481,31,IT,12.646361,42.504154,2012/04/22  0:16:18,2012/04/22  0:16:18,
5511,CH,8.234392,46.802496,213,SG,103.808053,1.351616,2012/04/22  0:16:18,2012/04/22  0:16:18,
5512,GY,-58.974781,5.623823,4,BS,-76.546624,25.243455,2012/04/22  0:16:18,2012/04/22  0:16:18,
5513,LY,18.02328,27.043961,4,CA,-105.75059,55.585901,2012/04/22  0:16:18,2012/04/22  0:16:18,
5514,SY,38.505592,35.013048,5,SE,17.675409,64.964875,2012/04/22  0:16:18,2012/04/22  0:16:18,
5515,KN,-62.753518,17.326189,477,US,-97.922211,39.381266,2012/04/22  0:16:18,2012/04/22  0:16:18,
5516,UA,31.320283,49.322794,16,LV,24.862593,56.959065,2012/04/22  0:16:18,2012/04/22  0:16:18,
5517,NZ,171.7799,-41.838875,15,MT,14.441921,35.890522,2012/04/22  0:16:18,2012/04/22  0:16:18,
5518,MM,96.506921,21.154319,35,NL,5.580444,52.274688,2012/04/22  0:16:18,2012/04/22  0:16:18,
5519,US,-97.922211,39.381266,7,AW,-69.975641,12.515629,2012/04/22  0:16:18,2012/04/22  0:16:18,
5520,CZ,15.338412,49.742859,27,CA,-105.75059,55.585901,2012/04/22  0:16:18,2012/04/22  0:16:18,
5521,CA,-105.75059,55.585901,1,PK,69.385966,29.967022,2012/04/22  0:16:18,2012/04/22  0:16:18,
5522,CM,12.213754,4.806512,1555,FR,2.618787,47.824905,2012/04/22  0:16:18,2012/04/22  0:16:18,
5523,DE,10.018343,51.133481,10,KZ,67.301774,48.160088,2012/04/22  0:16:18,2012/04/22  0:16:18,
